,Quarter,Tm,Detail,CHI,GNB
0,2.0,Bears,Mac Percival 10 yard field goal,3,0
1,3.0,Bears,Virgil Carter 2 yard rush (Mac Percival kick),10,0
2,3.0,Packers,Carroll Dale 50 yard pass from Bart Starr (Chuck Mercein kick),10,7
3,4.0,Packers,Chuck Mercein 19 yard field goal,10,10
4,4.0,Bears,Mac Percival 43 yard field goal,13,10
