,Quarter,Tm,Detail,ATL,WAS
0,1.0,Falcons,Randy Johnson 5 yard rush (Bob Etter kick),7,0
1,1.0,Redskins,Jerry Smith 16 yard pass from Sonny Jurgensen (Curt Knight kick),7,7
2,2.0,Falcons,Bob Etter 18 yard field goal,10,7
3,2.0,Falcons,Cannonball Butler 3 yard rush (Bob Etter kick),17,7
4,2.0,Redskins,Larry Brown 2 yard rush (Curt Knight kick),17,14
5,2.0,Falcons,Bob Etter 13 yard field goal,20,14
6,2.0,Redskins,Curt Knight 38 yard field goal,20,17
7,3.0,Redskins,Charlie Harraway 64 yard pass from Sonny Jurgensen (Curt Knight kick),20,24
8,4.0,Redskins,Curt Knight 27 yard field goal,20,27
