,Quarter,Tm,Detail,NWE,BAL
0,2.0,Colts,Sam Havrilak 40 yard pass from Marty Domres (Jim O'Brien kick),0,7
1,2.0,Colts,Sam Havrilak 3 yard pass from Marty Domres (Jim O'Brien kick),0,14
2,2.0,Colts,Jim O'Brien 40 yard field goal,0,17
3,3.0,Colts,Tom Mitchell 3 yard pass from Marty Domres (Jim O'Brien kick),0,24
4,3.0,Colts,Mike Curtis 22 yard interception return (Boris Shlapak kick),0,31
