,Quarter,Time,Tm,Detail,DET,CAR
0,2.0,7:58,Panthers,Graham Gano 29 yard field goal,0,3
1,2.0,1:11,Panthers,Graham Gano 53 yard field goal,0,6
2,3.0,9:28,Lions,Jed Collins 1 yard pass from Matthew Stafford (Nate Freese kick),7,6
3,3.0,2:30,Panthers,Jason Avant 14 yard pass from Cam Newton (Graham Gano kick),7,13
4,4.0,7:26,Panthers,Jonathan Stewart 2 yard rush (Jerricho Cotchery pass from Cam Newton),7,21
5,4.0,4:45,Panthers,Graham Gano 38 yard field goal,7,24
