,Quarter,Tm,Detail,HOU,GNB
0,1.0,Packers,Steve Odom 40 yard pass from Lynn Dickey (Chester Marcol kick),0,7
1,2.0,Oilers,Tim Wilson 1 yard rush (Toni Fritsch kick),7,7
2,2.0,Packers,Chester Marcol 34 yard field goal,7,10
3,2.0,Oilers,Toni Fritsch 32 yard field goal,10,10
4,4.0,Oilers,Willie Alexander 95 yard interception return,16,10
