,Quarter,Time,Tm,Detail,KAN,STL
0,1.0,,Chiefs,Pete Stoyanovich 25 yard field goal,3,0
1,1.0,,Rams,Isaac Bruce 12 yard pass from Tony Banks (Jeff Wilkins kick),3,7
2,1.0,,Chiefs,Pete Stoyanovich 52 yard field goal,6,7
3,2.0,,Chiefs,Lake Dawson 21 yard pass from Elvis Grbac (Tamarick Vanover pass from Elvis Grbac),14,7
4,2.0,,Chiefs,Pete Stoyanovich 41 yard field goal,17,7
5,2.0,,Rams,Lawrence Phillips 1 yard rush (Jeff Wilkins kick),17,14
6,3.0,,Chiefs,Pete Stoyanovich 39 yard field goal,20,14
7,3.0,,Chiefs,Marcus Allen 2 yard rush (Tony Gonzalez pass from Elvis Grbac),28,14
8,4.0,,Rams,Jeff Wilkins 25 yard field goal,28,17
9,4.0,,Rams,Jeff Wilkins 49 yard field goal,28,20
