,Quarter,Time,Tm,Detail,MIN,CAR
0,2.0,10:55,Panthers,Brad Hoover 1 yard pass from Matt Moore (John Kasay kick failed),0,6
1,2.0,5:01,Vikings,Adrian Peterson 4 yard rush (Ryan Longwell kick),7,6
2,4.0,14:49,Panthers,Steve Smith 42 yard pass from Matt Moore (pass failed),7,12
3,4.0,9:18,Panthers,Jonathan Stewart 3 yard rush (John Kasay kick),7,19
4,4.0,3:07,Panthers,Jonathan Stewart 2 yard pass from Matt Moore (John Kasay kick),7,26
