,Quarter,Tm,Detail,CHI,GNB
0,2.0,Packers,Jim Grabowski 2 yard rush (Don Chandler kick),0,7
1,2.0,Packers,Don Chandler 20 yard field goal,0,10
2,3.0,Bears,Mac Percival 22 yard field goal,3,10
3,4.0,Bears,Gale Sayers 13 yard rush (Mac Percival kick),10,10
4,4.0,Packers,Don Chandler 46 yard field goal,10,13
