,Quarter,Tm,Detail,OAK,SEA
0,1.0,Seahawks,David Sims 2 yard rush (Efren Herrera kick),0,7
1,2.0,Seahawks,Sherman Smith 2 yard rush (Efren Herrera kick),0,14
2,2.0,Seahawks,Sherman Smith 1 yard rush (Efren Herrera kick),0,21
3,3.0,Seahawks,Efren Herrera 42 yard field goal,0,24
4,3.0,Seahawks,Efren Herrera 32 yard field goal,0,27
5,4.0,Raiders,Cliff Branch 22 yard pass from Ken Stabler (Errol Mann kick),7,27
