,Quarter,Tm,Detail,CHI,CRD
0,1.0,Cardinals,Leo Cantor 3 yard rush (Joe Kuharich kick),0,7
1,1.0,Bears,George Wilson 12 yard pass from Sid Luckman (Pete Gudauskas kick),7,7
2,2.0,Bears,George McAfee 1 yard rush (Pete Gudauskas kick),14,7
3,2.0,Bears,Don Perkins 38 yard rush (Pete Gudauskas kick),21,7
4,3.0,Bears,Ken Kavanaugh 50 yard pass from Sid Luckman (Pete Gudauskas kick),28,7
5,4.0,Cardinals,Leo Cantor 1 yard rush (Joe Kuharich kick),28,14
6,4.0,Cardinals,Billy Dewell 10 yard pass from Paul Christman,28,20
