,Quarter,Tm,Detail,MIN,DAL
0,1.0,Vikings,Fred Cox 23 yard field goal,3,0
1,2.0,Vikings,Tom Hall 6 yard pass from Fran Tarkenton (Fred Cox kick),10,0
2,2.0,Cowboys,Bob Hayes 37 yard pass from Don Meredith (Danny Villanueva kick),10,7
3,3.0,Cowboys,Don Meredith 4 yard rush (Danny Villanueva kick),10,14
4,3.0,Vikings,Jim Lindsey 15 yard pass from Fran Tarkenton (Fred Cox kick),17,14
5,4.0,Cowboys,Buddy Dial 8 yard pass from Don Meredith (Danny Villanueva kick),17,21
6,4.0,Cowboys,Dan Reeves 11 yard rush (Danny Villanueva kick),17,28
