,Quarter,Time,Tm,Detail,HOU,CLE
0,1.0,6:49,Texans,Kevin Walter 17 yard pass from Sage Rosenfels (Kris Brown kick),7,0
1,2.0,13:37,Texans,Kris Brown 31 yard field goal,10,0
2,2.0,7:59,Browns,Phil Dawson 32 yard field goal,10,3
3,2.0,2:20,Browns,Phil Dawson 32 yard field goal,10,6
4,2.0,0:03,Texans,Kris Brown 31 yard field goal,13,6
5,3.0,8:48,Texans,Kris Brown 36 yard field goal,16,6
