,Quarter,Tm,Detail,PIT,CIN
0,1.0,Bengals,Horst Muhlmann 17 yard field goal,0,3
1,1.0,Bengals,Horst Muhlmann 13 yard field goal,0,6
2,2.0,Bengals,Virgil Carter 5 yard rush (Horst Muhlmann kick),0,13
3,3.0,Steelers,John Fuqua 1 yard rush (Gene Mingo kick),7,13
4,3.0,Bengals,Paul Robinson 15 yard rush (Horst Muhlmann kick),7,20
5,4.0,Bengals,Bob Trumpy 53 yard pass from Virgil Carter (Horst Muhlmann kick),7,27
6,4.0,Bengals,Eric Crabtree 10 yard pass from Virgil Carter (Horst Muhlmann kick),7,34
