,Quarter,Tm,Detail,ATL,RAM
0,2.0,Rams,Mark Jerue 22 yard interception return (Mike Lansford kick),0,7
1,2.0,Rams,David Hill 15 yard pass from Eric Dickerson (Mike Lansford kick),0,14
2,3.0,Falcons,James Britt 65 yard defensive fumble return (Mick Luckhurst kick),7,14
