,Quarter,Time,Tm,Detail,NYJ,NYG
0,1.0,8:36,Jets,Kerry Rhodes 11 yard defensive fumble return (Mike Nugent kick),7,0
1,2.0,10:54,Giants,Derrick Ward 8 yard rush (Lawrence Tynes kick),7,7
2,2.0,0:33,Jets,Brad Smith 16 yard pass from Chad Pennington (Mike Nugent kick),14,7
3,2.0,0:00,Jets,Mike Nugent 47 yard field goal,17,7
4,3.0,11:17,Giants,Brandon Jacobs 19 yard rush (Lawrence Tynes kick),17,14
5,3.0,11:03,Jets,Leon Washington 98 yard kickoff return (Mike Nugent kick),24,14
6,3.0,0:33,Giants,Jeremy Shockey 13 yard pass from Eli Manning (Lawrence Tynes kick),24,21
7,4.0,7:52,Giants,Plaxico Burress 53 yard pass from Eli Manning (Lawrence Tynes kick),24,28
8,4.0,3:15,Giants,Aaron Ross 43 yard interception return (Lawrence Tynes kick),24,35
