,Quarter,Time,Tm,Detail,NOR,OAK
0,1.0,7:53,Saints,Jimmy Graham 1 yard pass from Drew Brees (Garrett Hartley kick),7,0
1,1.0,4:06,Saints,Malcolm Jenkins 55 yard interception return (Garrett Hartley kick),14,0
2,2.0,4:10,Raiders,Brandon Myers 1 yard pass from Carson Palmer (Sebastian Janikowski kick),14,7
3,2.0,0:48,Saints,Lance Moore 38 yard pass from Drew Brees (Garrett Hartley kick),21,7
4,3.0,14:43,Saints,Mark Ingram 27 yard rush (Garrett Hartley kick),28,7
5,3.0,10:22,Raiders,Sebastian Janikowski 40 yard field goal,28,10
6,3.0,3:26,Saints,Lance Moore 15 yard pass from Drew Brees (Garrett Hartley kick),35,10
7,4.0,10:28,Saints,Garrett Hartley 47 yard field goal,38,10
8,4.0,4:00,Raiders,Juron Criner 3 yard pass from Carson Palmer (Sebastian Janikowski kick),38,17
