,Quarter,Tm,Detail,CHI,BKN
0,1.0,Bears,George Wilson 16 yard pass from Ray Buivid (Jack Manders kick),7,0
1,2.0,Bears,Joe Maniaci 15 yard field goal,10,0
2,2.0,Bears,Joe Maniaci 18 yard rush (Joe Maniaci kick),17,0
3,2.0,Dodgers,Perry Schwartz 8 yard pass from Ace Parker,17,6
4,4.0,Bears,Bill Conkright 2 yard pass from Bernie Masterson (Jack Manders kick),24,6
