,Quarter,Tm,Detail,PIT,HOU
0,1.0,Steelers,"Safety, White tackled Pastorini in end zone",2,0
1,2.0,Oilers,Skip Butler 27 yard field goal,2,3
2,2.0,Steelers,Franco Harris 4 yard rush (Roy Gerela kick),9,3
3,2.0,Steelers,Lynn Swann 18 yard pass from Terry Bradshaw,15,3
4,3.0,Steelers,Roy Gerela 30 yard field goal,18,3
5,4.0,Steelers,John Fuqua 13 yard rush (Roy Gerela kick),25,3
6,4.0,Oilers,Ken Burrough 59 yard pass from Dan Pastorini,25,9
7,4.0,Steelers,Franco Harris 13 yard rush (Roy Gerela kick),32,9
