,Quarter,Tm,Detail,BAL,NYJ
0,1.0,Jets,John Riggins 32 yard rush (Bobby Howfield kick),0,7
1,1.0,Colts,Jim O'Brien 22 yard field goal,3,7
2,1.0,Jets,Emerson Boozer 49 yard pass from Joe Namath (Bobby Howfield kick),3,14
3,2.0,Colts,Don Nottingham 1 yard rush (Jim O'Brien kick),10,14
4,2.0,Jets,Bobby Howfield 29 yard field goal,10,17
5,3.0,Colts,Jim O'Brien 28 yard field goal,13,17
6,4.0,Colts,Jim O'Brien 13 yard pass from Marty Domres (Jim O'Brien kick),20,17
7,4.0,Jets,Eddie Bell 83 yard pass from Joe Namath (Bobby Howfield kick),20,24
