,Quarter,Tm,Detail,KAN,CLE
0,2.0,Browns,Leroy Hoard 1 yard rush (Matt Stover kick),0,7
1,2.0,Browns,Matt Stover 34 yard field goal,0,10
2,3.0,Browns,Leroy Hoard 71 yard pass from Bernie Kosar (Matt Stover kick),0,17
3,3.0,Chiefs,Nick Lowery 34 yard field goal,3,17
4,3.0,Browns,Matt Stover 21 yard field goal,3,20
5,4.0,Chiefs,Nick Lowery 22 yard field goal,6,20
6,4.0,Chiefs,"Safety, Lewis tackled Kosar in end zone",8,20
7,4.0,Chiefs,Emile Harry 5 yard pass from Steve DeBerg (Nick Lowery kick),15,20
