,Quarter,Time,Tm,Detail,SEA,OAK
0,1.0,,Raiders,Olanda Truitt 19 yard pass from Jeff George (Cole Ford kick),0,7
1,1.0,,Raiders,James Jett 37 yard pass from Jeff George (Cole Ford kick),0,14
2,2.0,,Seahawks,Todd Peterson 27 yard field goal,3,14
3,2.0,,Raiders,Rickey Dudley 5 yard pass from Jeff George (Cole Ford kick),3,21
4,3.0,,Seahawks,Joey Galloway 8 yard pass from Jon Kitna (pass failed),9,21
5,3.0,,Seahawks,Todd Peterson 27 yard field goal,12,21
6,4.0,,Seahawks,Chris Warren 9 yard rush (Todd Peterson kick),19,21
7,4.0,,Seahawks,Todd Peterson 49 yard field goal,22,21
