,Quarter,Tm,Detail,ATL,SFO
0,1.0,49ers,Gene Washington 5 yard pass from Tom Owen (Bruce Gossett kick),0,7
1,2.0,49ers,Gene Washington 53 yard pass from Tom Owen (Bruce Gossett kick),0,14
2,4.0,49ers,Manfred Moore 88 yard punt return (Bruce Gossett kick),0,21
3,4.0,49ers,Bruce Gossett 20 yard field goal,0,24
4,4.0,49ers,Bruce Gossett 42 yard field goal,0,27
