,Quarter,Tm,Detail,FRN,PRV
0,2.0,Steam Roller,Jimmy Conzelman 8 yard pass from Wildcat Wilson,0,6
1,4.0,Yellow Jackets,Wally Diehl 5 yard pass from Ken Mercer (Johnny Roepke kick),7,6
2,4.0,Yellow Jackets,Johnny Roepke 20 yard field goal,10,6
