,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,5:46,Saints,Terrelle Smith 4 yard pass from Aaron Brooks (John Carney kick),0,7
1,1.0,0:24,Rams,Isaac Bruce 6 yard pass from Kurt Warner (Jeff Wilkins kick),7,7
2,2.0,9:31,Rams,Isaac Bruce 11 yard pass from Kurt Warner (Jeff Wilkins kick),14,7
3,2.0,1:56,Saints,Joe Horn 6 yard pass from Aaron Brooks (John Carney kick),14,14
4,2.0,0:28,Rams,Marshall Faulk 4 yard pass from Kurt Warner (Jeff Wilkins kick),21,14
5,3.0,10:07,Rams,Isaac Bruce 40 yard pass from Kurt Warner (Jeff Wilkins kick),28,14
6,3.0,3:45,Saints,Willie Jackson 28 yard pass from Aaron Brooks (John Carney kick),28,21
7,4.0,14:18,Rams,Jeff Wilkins 43 yard field goal,31,21
8,4.0,7:55,Rams,Jeff Wilkins 27 yard field goal,34,21
