,Quarter,Tm,Detail,BUF,SDG
0,1.0,Chargers,Charlie Joiner 38 yard pass from Dan Fouts (Bob Thomas kick),0,7
1,2.0,Chargers,Bob Thomas 24 yard field goal,0,10
2,2.0,Chargers,John Hendy 75 yard interception return (Bob Thomas kick),0,17
3,2.0,Chargers,Tim Spencer 1 yard rush (Bob Thomas kick),0,24
4,2.0,Bills,Joe Cribbs 2 yard rush (Scott Norwood kick),7,24
5,3.0,Chargers,Bob Thomas 28 yard field goal,7,27
6,3.0,Chargers,Eric Sievers 23 yard pass from Dan Fouts (Bob Thomas kick),7,34
7,4.0,Chargers,Pete Holohan 13 yard pass from Dan Fouts,7,40
