,Quarter,Tm,Detail,MIA,KAN
0,1.0,Chiefs,Christian Okoye 38 yard rush (Nick Lowery kick),0,7
1,1.0,Chiefs,Chris Martin 100 yard defensive fumble return (Nick Lowery kick),0,14
2,2.0,Chiefs,Tim Barnett 7 yard pass from Steve DeBerg (Nick Lowery kick),0,21
3,2.0,Chiefs,Christian Okoye 1 yard rush (Nick Lowery kick),0,28
4,3.0,Chiefs,Todd McNair 14 yard pass from Steve DeBerg (Nick Lowery kick),0,35
5,3.0,Chiefs,Tim Barnett 41 yard pass from Steve DeBerg (Nick Lowery kick),0,42
6,4.0,Dolphins,Scott Secules 4 yard rush (Pete Stoyanovich kick),7,42
