,Quarter,Time,Tm,Detail,CAR,DEN
0,1.0,,Broncos,Darrien Gordon 82 yard punt return (Jason Elam kick),0,7
1,1.0,,Broncos,Darrien Gordon 75 yard punt return (Jason Elam kick),0,14
2,2.0,,Broncos,Jason Elam 25 yard field goal,0,17
3,3.0,,Broncos,Jason Elam 50 yard field goal,0,20
4,3.0,,Broncos,Rod Smith 20 yard pass from John Elway (Jason Elam kick),0,27
5,4.0,,Broncos,Tyrone Braxton 27 yard interception return (Jason Elam kick),0,34
