,Quarter,Tm,Detail,WAS,PHO
0,2.0,Cardinals,Al Del Greco 32 yard field goal,0,3
1,2.0,Redskins,Gerald Riggs 1 yard rush (Chip Lohmiller kick),7,3
2,2.0,Cardinals,Roy Green 12 yard pass from Timm Rosenbach (Al Del Greco kick),7,10
3,3.0,Redskins,Chip Lohmiller 26 yard field goal,10,10
4,3.0,Redskins,Gary Clark 42 yard pass from Stan Humphries (Chip Lohmiller kick),17,10
5,4.0,Redskins,Stan Humphries 1 yard rush (Chip Lohmiller kick),24,10
6,4.0,Redskins,Gary Clark 42 yard pass from Stan Humphries (Chip Lohmiller kick),31,10
7,4.0,Redskins,Earnest Byner 1 yard rush (Chip Lohmiller kick),38,10
