,Quarter,Time,Tm,Detail,NOR,DEN
0,1.0,9:01,Broncos,Nate Jackson 1 yard pass from Jay Cutler (Matt Prater kick),0,7
1,1.0,2:07,Saints,Martin Gramatica 43 yard field goal,3,7
2,1.0,0:27,Broncos,Brandon Marshall 35 yard pass from Jay Cutler (Matt Prater kick),3,14
3,2.0,14:11,Broncos,Nate Webster 34 yard defensive fumble return (Matt Prater kick),3,21
4,2.0,9:16,Saints,Pierre Thomas 5 yard rush (Martin Gramatica kick),10,21
5,2.0,6:51,Saints,Reggie Bush 23 yard rush (Martin Gramatica kick),17,21
6,2.0,2:55,Broncos,Matt Prater 27 yard field goal,17,24
7,2.0,0:23,Saints,"Safety, Charles Grant and Sedrick Ellis tackled Andre Hall in end zone.",19,24
8,3.0,7:37,Broncos,Michael Pittman 2 yard rush (Matt Prater kick),19,31
9,3.0,7:02,Saints,Reggie Bush 6 yard pass from Drew Brees (Martin Gramatica kick),26,31
10,3.0,2:20,Broncos,Matt Prater 34 yard field goal,26,34
11,4.0,10:00,Saints,Pierre Thomas 10 yard rush (pass failed),32,34
