,Quarter,Tm,Detail,CIN,KAN
0,1.0,Chiefs,Deron Cherry special teams fumble recovery in end zone (Nick Lowery kick),0,7
1,2.0,Bengals,Cris Collinsworth 15 yard pass from Boomer Esiason (Jim Breech kick),7,7
2,3.0,Chiefs,Jeff Smith 15 yard pass from Todd Blackledge (Nick Lowery kick),7,14
3,3.0,Chiefs,Walt Arnold offensive fumble recovery in end zone (Nick Lowery kick),7,21
4,4.0,Bengals,Cris Collinsworth 28 yard pass from Boomer Esiason (Jim Breech kick),14,21
5,4.0,Chiefs,Nick Lowery 18 yard field goal,14,24
