,Quarter,Tm,Detail,KAN,RAM
0,1.0,Chiefs,Jonathan Hayes 6 yard pass from Steve DeBerg (Nick Lowery kick),7,0
1,2.0,Rams,Damone Johnson 1 yard pass from Jim Everett (Tony Zendejas kick),7,7
2,2.0,Chiefs,Barry Word 1 yard rush (Nick Lowery kick),14,7
3,2.0,Rams,Henry Ellard 14 yard pass from Jim Everett (Tony Zendejas kick),14,14
4,3.0,Chiefs,Nick Lowery 20 yard field goal,17,14
5,3.0,Chiefs,Nick Lowery 44 yard field goal,20,14
6,4.0,Rams,Damone Johnson 17 yard pass from Jim Everett,20,20
7,4.0,Chiefs,Derrick Thomas 23 yard defensive fumble return (Nick Lowery kick),27,20
