,Quarter,Tm,Detail,PHI,CRD
0,2.0,Eagles,Bobby Walston 35 yard field goal,3,0
1,2.0,Cardinals,Johnny Karras 4 yard pass from Charley Trippi (Joe Geri kick),3,7
2,2.0,Cardinals,Volney Peters fumble recovery in end zone (Joe Geri kick),3,14
3,3.0,Eagles,"Safety, Karras tackled in end zone by Van Buren",5,14
4,3.0,Cardinals,Ollie Matson 13 yard rush (Joe Geri kick),5,21
5,3.0,Eagles,Bobby Walston 19 yard field goal,8,21
6,3.0,Cardinals,Ollie Matson 79 yard kickoff return (Joe Geri kick),8,28
7,3.0,Eagles,Bobby Walston 8 yard pass from Adrian Burk (Bobby Walston kick),15,28
8,4.0,Eagles,Bud Grant 30 yard pass from Bobby Thomason (Bobby Walston kick),22,28
