,Quarter,Time,Tm,Detail,CAR,STL
0,2.0,,Rams,Leslie O'Neal 66 yard defensive fumble return (Jeff Wilkins kick),0,7
1,2.0,,Panthers,Rocket Ismail 59 yard pass from Kerry Collins (John Kasay kick),7,7
2,2.0,,Panthers,John Kasay 36 yard field goal,10,7
3,3.0,,Rams,Jeff Wilkins 26 yard field goal,10,10
4,3.0,,Panthers,John Kasay 53 yard field goal,13,10
5,4.0,,Panthers,John Kasay 27 yard field goal,16,10
