,Quarter,Tm,Detail,ATL,CHI
0,1.0,Falcons,Bob Berry 1 yard rush,6,0
1,1.0,Bears,Mac Percival 34 yard field goal,6,3
2,2.0,Falcons,Bob Berry 1 yard rush (Bob Etter kick),13,3
3,2.0,Bears,Mac Percival 14 yard field goal,13,6
4,2.0,Bears,Virgil Carter 4 yard rush (Mac Percival kick),13,13
5,2.0,Falcons,Bob Etter 20 yard field goal,16,13
