,Quarter,Time,Tm,Detail,HOU,BUF
0,2.0,,Oilers,"Safety, Cook tackled Collins in end zone",2,0
1,2.0,,Oilers,Al Del Greco 39 yard field goal,5,0
2,2.0,,Oilers,Al Del Greco 33 yard field goal,8,0
3,3.0,,Bills,Steve Christie 44 yard field goal,8,3
4,3.0,,Oilers,Rodney Thomas 4 yard rush (run failed),14,3
5,3.0,,Oilers,Rodney Thomas 7 yard rush (Al Del Greco kick),21,3
6,4.0,,Oilers,Frank Wycheck 36 yard pass from Steve McNair (Al Del Greco kick),28,3
7,4.0,,Bills,Andre Reed 15 yard pass from Alex Van Pelt (Steve Christie kick),28,10
8,4.0,,Bills,Justin Armour 19 yard pass from Alex Van Pelt (Steve Christie kick),28,17
