,Quarter,Tm,Detail,PHI,PIT
0,2,Eagles,Swede Hanson 16 yard rush (Swede Hanson kick),7,0
1,3,Eagles,Swede Hanson 34 yard pass from Red Kirkman (Chuck Hajek kick),14,0
2,4,Eagles,Reds Weiner 17 yard field goal,17,0
