,Quarter,Time,Tm,Detail,MIA,OAK
0,2.0,,Raiders,Derrick Fenner 6 yard rush (Cole Ford kick),0,7
1,2.0,,Raiders,Tim Brown 22 yard pass from Jeff Hostetler (Cole Ford kick),0,14
2,4.0,,Raiders,Cole Ford 38 yard field goal,0,17
3,4.0,,Dolphins,Randal Hill 4 yard pass from Dan Marino (Joe Nedney kick),7,17
