,Quarter,Tm,Detail,NYJ,CHI
0,1.0,Jets,Jerome Barkum 18 yard pass from Richard Todd,6,0
1,1.0,Bears,Rickey Watts 21 yard pass from Mike Phipps (Bob Thomas kick),6,7
2,2.0,Bears,Dave Williams 1 yard rush (Bob Thomas kick),6,14
3,3.0,Bears,Dave Williams 6 yard pass from Mike Phipps,6,20
4,4.0,Bears,Bob Thomas 24 yard field goal,6,23
5,4.0,Jets,Richard Todd 1 yard rush (Toni Linhart kick),13,23
