,Quarter,Tm,Detail,CHI,RAM
0,1.0,Rams,Ollie Matson 1 yard rush (Danny Villanueva kick),0,7
1,2.0,Bears,John Aveni 12 yard field goal,3,7
2,2.0,Rams,Danny Villanueva 12 yard field goal,3,10
3,3.0,Bears,Willard Dewveall 14 yard pass from Zeke Bratkowski (John Aveni kick),10,10
4,3.0,Rams,Clendon Thomas 12 yard pass from Frank Ryan (Danny Villanueva kick),10,17
5,4.0,Bears,Angelo Coia 25 yard pass from Zeke Bratkowski (John Aveni kick),17,17
6,4.0,Rams,Eddie Meador 26 yard interception return (Danny Villanueva kick),17,24
7,4.0,Bears,Angelo Coia 29 yard pass from Zeke Bratkowski (John Aveni kick),24,24
