,Quarter,Tm,Detail,GNB,DET
0,1.0,Packers,Ted Fritsch 6 yard fumble return (Ed Cody kick),7,0
1,2.0,Lions,Bob Mann 7 yard pass from Fred Enke (Merv Pregulman kick),7,7
2,2.0,Packers,Tony Canadeo 9 yard rush (Ed Cody kick),14,7
3,3.0,Lions,Merv Pregulman 27 yard field goal,14,10
4,3.0,Lions,Joe Margucci 55 yard pass from Clyde LeForce (Merv Pregulman kick),14,17
5,4.0,Lions,Clyde LeForce 33 yard rush (Merv Pregulman kick),14,24
6,4.0,Packers,Ralph Earhart 50 yard pass from Irv Comp,20,24
