,Quarter,Tm,Detail,DET,GNB
0,1.0,Packers,Vince Workman 30 yard rush (Chris Jacke kick),0,7
1,1.0,Lions,Robert Clark 19 yard pass from Erik Kramer (Eddie Murray kick),7,7
2,2.0,Packers,Chris Jacke 23 yard field goal,7,10
3,4.0,Lions,Robert Clark 3 yard pass from Erik Kramer (Eddie Murray kick),14,10
4,4.0,Lions,Mel Gray 78 yard punt return (Eddie Murray kick),21,10
5,4.0,Packers,Vince Workman 12 yard pass from Mike Tomczak (Chris Jacke kick),21,17
