,Quarter,Tm,Detail,DEN,SEA
0,1.0,Seahawks,John Kasay 36 yard field goal,0,3
1,2.0,Seahawks,Jeff Chadwick 4 yard pass from Dave Krieg (John Kasay kick),0,10
2,2.0,Seahawks,John Kasay 42 yard field goal,0,13
3,3.0,Broncos,Warren Powers 22 yard defensive fumble return (David Treadwell kick),7,13
4,3.0,Broncos,David Treadwell 23 yard field goal,10,13
