,Quarter,Tm,Detail,CLE,SDG
0,1.0,Chargers,Don Woods 29 yard rush (Rolf Benirschke kick),0,7
1,1.0,Chargers,Hank Bauer 15 yard pass from Dan Fouts (Rolf Benirschke kick),0,14
2,2.0,Chargers,Rolf Benirschke 35 yard field goal,0,17
3,2.0,Chargers,Charlie Joiner 30 yard pass from Dan Fouts (Rolf Benirschke kick),0,24
4,2.0,Chargers,Rolf Benirschke 36 yard field goal,0,27
5,3.0,Chargers,Rolf Benirschke 24 yard field goal,0,30
6,4.0,Browns,Reggie Rucker 16 yard pass from Dave Mays (Don Cockroft kick),7,30
7,4.0,Chargers,Larry Dorsey 67 yard pass from Dan Fouts (Rolf Benirschke kick),7,37
8,4.0,Browns,Cleo Miller 6 yard rush (Don Cockroft kick),14,37
