,Quarter,Time,Tm,Detail,STL,NOR
0,1.0,9:15,Rams,Marshall Faulk 13 yard pass from Kurt Warner (Jeff Wilkins kick),7,0
1,2.0,10:29,Saints,Darrin Smith 41 yard interception return (Doug Brien kick),7,7
2,2.0,1:18,Rams,Jeff Wilkins 19 yard field goal,10,7
3,3.0,11:41,Rams,Jeff Wilkins 39 yard field goal,13,7
4,3.0,2:45,Rams,Marshall Faulk 9 yard rush (run failed),19,7
5,4.0,9:21,Saints,Willie Jackson 28 yard pass from Aaron Brooks (Doug Brien kick),19,14
6,4.0,3:27,Rams,Marshall Faulk 1 yard rush (Jeff Wilkins kick),26,14
7,4.0,2:24,Saints,Joe Horn 22 yard pass from Aaron Brooks (Doug Brien kick),26,21
