,Quarter,Time,Tm,Detail,HOU,DEN
0,1.0,10:53,Texans,Jordan Thomas 7 yard pass from Deshaun Watson (Ka'imi Fairbairn kick),7,0
1,1.0,4:42,Broncos,Brandon McManus 44 yard field goal,7,3
2,2.0,11:05,Texans,DeAndre Hopkins 16 yard pass from Deshaun Watson (Ka'imi Fairbairn kick failed),13,3
3,2.0,5:33,Broncos,Devontae Booker 14 yard rush (Brandon McManus kick),13,10
4,2.0,0:00,Texans,Ka'imi Fairbairn 46 yard field goal,16,10
5,3.0,5:57,Broncos,Jeff Heuerman 12 yard pass from Case Keenum (Brandon McManus kick),16,17
6,4.0,14:06,Texans,Ka'imi Fairbairn 37 yard field goal,19,17
