,Quarter,Tm,Detail,PHI,PIT
0,1.0,Eagles,Joe Pilconis 22 yard fumble return (Dave Smukler kick),7,0
1,1.0,Pirates,Bill Davidson 87 yard interception return,7,6
2,2.0,Pirates,Armand Niccolai 27 yard field goal,7,9
3,3.0,Pirates,Bill Sortet 26 yard pass from Johnny Gildea (Armand Niccolai kick),7,16
