,Quarter,Time,Tm,Detail,CIN,TAM
0,1.0,,Bengals,Doug Pelfrey 34 yard field goal,3,0
1,1.0,,Buccaneers,Michael Husted 25 yard field goal,3,3
2,2.0,,Buccaneers,Errict Rhett 2 yard rush (Michael Husted kick),3,10
3,2.0,,Bengals,Doug Pelfrey 45 yard field goal,6,10
4,3.0,,Buccaneers,Michael Husted 27 yard field goal,6,13
5,3.0,,Bengals,Doug Pelfrey 44 yard field goal,9,13
6,4.0,,Bengals,David Dunn 10 yard pass from Jeff Blake (Doug Pelfrey kick),16,13
7,4.0,,Buccaneers,Michael Husted 33 yard field goal,16,16
8,4.0,,Buccaneers,Michael Husted 53 yard field goal,16,19
