,Quarter,Time,Tm,Detail,PHI,NYG
0,2.0,,Eagles,Ricky Watters 8 yard rush (Gary Anderson kick),7,0
1,2.0,,Eagles,Mike Zordich 58 yard fumble return (Gary Anderson kick),14,0
2,2.0,,Giants,Brad Daluiso 20 yard field goal,14,3
3,2.0,,Giants,Brad Daluiso 21 yard field goal,14,6
4,4.0,,Eagles,Gary Anderson 40 yard field goal,17,6
5,4.0,,Giants,Omar Douglas 41 yard defensive fumble return (Rodney Hampton run),17,14
