,Quarter,Time,Tm,Detail,NWE,MIA
0,1.0,11:53,Patriots,Stevan Ridley 2 yard rush (Stephen Gostkowski kick),7,0
1,1.0,0:01,Dolphins,Dan Carpenter 44 yard field goal,7,3
2,2.0,9:21,Patriots,Wes Welker 7 yard pass from Tom Brady (Stephen Gostkowski kick),14,3
3,2.0,6:53,Patriots,Stephen Gostkowski 43 yard field goal,17,3
4,2.0,0:25,Dolphins,Ryan Tannehill 2 yard rush (Dan Carpenter kick),17,10
5,4.0,13:16,Patriots,Stephen Gostkowski 32 yard field goal,20,10
6,4.0,8:28,Dolphins,Dan Carpenter 33 yard field goal,20,13
7,4.0,1:10,Patriots,Stephen Gostkowski 20 yard field goal,23,13
8,4.0,0:31,Dolphins,Dan Carpenter 42 yard field goal,23,16
