,Quarter,Tm,Detail,RAM,PHI
0,1.0,Eagles,Hubie Oliver 2 yard rush,0,6
1,2.0,Rams,Mike Lansford 27 yard field goal,3,6
2,2.0,Rams,Mike Lansford 28 yard field goal,6,6
3,4.0,Rams,Mike Lansford 28 yard field goal,9,6
4,4.0,Eagles,Tony Woodruff 29 yard pass from Ron Jaworski (Tony Franklin kick),9,13
