,Quarter,Tm,Detail,WAS,PHI
0,1.0,Eagles,Steve Van Buren 6 yard rush (Cliff Patton kick),0,7
1,1.0,Eagles,Neill Armstrong 25 yard pass from Tommy Thompson (Cliff Patton kick),0,14
2,2.0,Eagles,Jack Myers 29 yard rush (Cliff Patton kick),0,21
3,2.0,Redskins,Hal Crisler 30 yard pass from Sammy Baugh (Dick Poillon kick),7,21
4,2.0,Redskins,Hal Crisler 79 yard pass from Sammy Baugh (Dick Poillon kick),14,21
5,3.0,Eagles,Russ Craft 24 yard pass from Tommy Thompson (Cliff Patton kick),14,28
6,3.0,Eagles,Pete Pihos 19 yard pass from Tommy Thompson (Cliff Patton kick),14,35
7,4.0,Redskins,Dick Poillon 93 yard fumble return (Dick Poillon kick),21,35
8,4.0,Eagles,Jack Ferrante 15 yard pass from Bill Mackrides (Cliff Patton kick),21,42
