,Quarter,Tm,Detail,CLE,NYG
0,1.0,Browns,Lou Groza 18 yard field goal,3,0
1,1.0,Browns,Otto Graham 1 yard rush (Lou Groza kick),10,0
2,2.0,Browns,Lou Groza 10 yard field goal,13,0
3,3.0,Giants,Herb Johnson 48 yard punt return (Ben Agajanian kick),13,7
4,3.0,Browns,Lou Groza 38 yard field goal,16,7
