,Quarter,Time,Tm,Detail,HOU,KAN
0,1.0,,Chiefs,Lin Elliott 47 yard field goal,0,3
1,2.0,1:23,Chiefs,Webster Slaughter 3 yard pass from Steve Bono (Lin Elliott kick),0,10
2,2.0,1:23,Oilers,Chris Sanders 1 yard pass from Chris Chandler (pass failed),6,10
3,4.0,1:23,Chiefs,Lin Elliott 21 yard field goal,6,13
4,4.0,1:23,Oilers,Chris Sanders 40 yard pass from Chris Chandler (Al Del Greco kick),13,13
5,4.0,1:23,Chiefs,Mark Collins 34 yard defensive fumble return (Lin Elliott kick),13,20
