,Quarter,Time,Tm,Detail,NYG,DAL
0,1.0,,Cowboys,Richie Cunningham 37 yard field goal,0,3
1,1.0,,Giants,Brad Daluiso 32 yard field goal,3,3
2,2.0,,Cowboys,Richie Cunningham 40 yard field goal,3,6
3,2.0,2:00,Giants,Brad Daluiso 23 yard field goal,6,6
4,3.0,2:00,Cowboys,Richie Cunningham 19 yard field goal,6,9
5,4.0,2:00,Cowboys,Eric Bjornson 2 yard pass from Troy Aikman (Richie Cunningham kick),6,16
