,Quarter,Tm,Detail,BAL,RAM
0,2.0,Colts,Lou Michaels 50 yard field goal,3,0
1,2.0,Colts,Lenny Moore 28 yard rush (Lou Michaels kick),10,0
2,2.0,Rams,Tommy McDonald 10 yard pass from Roman Gabriel (Bruce Gossett kick),10,7
3,3.0,Rams,Jack Snow 60 yard pass from Roman Gabriel (Bruce Gossett kick),10,14
4,4.0,Rams,Bruce Gossett 12 yard field goal,10,17
5,4.0,Colts,John Mackey 68 yard pass from Ed Brown (Lou Michaels kick),17,17
6,4.0,Colts,Lou Michaels 23 yard field goal,20,17
