,Quarter,Time,Tm,Detail,PIT,RAI
0,1.0,,Steelers,Yancey Thigpen 27 yard pass from Mike Tomczak (Gary Anderson kick),7,0
1,2.0,,Raiders,Jeff Jaeger 32 yard field goal,7,3
2,4.0,,Steelers,Eric Green 15 yard pass from Mike Tomczak (Gary Anderson kick),14,3
3,4.0,,Steelers,Bam Morris 3 yard rush (Gary Anderson kick),21,3
