,Quarter,Tm,Detail,BAL,MIA
0,1,Dolphins,Paul Warfield 75 yard pass from Bob Griese (Garo Yepremian kick),0,7
1,3,Dolphins,Dick Anderson 62 yard interception return (Garo Yepremian kick),0,14
2,4,Dolphins,Larry Csonka 5 yard rush (Garo Yepremian kick),0,21
