,Quarter,Tm,Detail,WAS,GNB
0,1.0,Packers,Chester Marcol 29 yard field goal,0,3
1,2.0,Redskins,Mark Moseley 40 yard field goal,3,3
2,2.0,Packers,Chester Marcol 46 yard field goal,3,6
3,3.0,Redskins,Frank Grant 22 yard pass from Billy Kilmer (Mark Moseley kick),10,6
4,4.0,Redskins,Harold McLinton 14 yard interception return (Mark Moseley kick),17,6
