,Quarter,Time,Tm,Detail,PIT,KAN
0,1.0,11:10,Steelers,Troy Edwards 12 yard pass from Mike Tomczak (Kris Brown kick),7,0
1,1.0,8:43,Chiefs,Tony Gonzalez 15 yard pass from Elvis Grbac (Pete Stoyanovich kick),7,7
2,1.0,5:07,Steelers,Kris Brown 42 yard field goal,10,7
3,2.0,10:16,Chiefs,Donnie Edwards 28 yard interception return (Pete Stoyanovich kick),10,14
4,2.0,4:17,Chiefs,Tony Gonzalez 2 yard pass from Elvis Grbac (Pete Stoyanovich kick),10,21
5,2.0,0:00,Steelers,Kris Brown 47 yard field goal,13,21
6,3.0,1:29,Chiefs,Derrick Alexander 82 yard rush (Pete Stoyanovich kick),13,28
7,4.0,1:56,Chiefs,Bam Morris 10 yard rush (Pete Stoyanovich kick),13,35
8,4.0,0:34,Steelers,Bobby Shaw 11 yard pass from Mike Tomczak (pass failed),19,35
