,Quarter,Tm,Detail,BOS,RAM
0,1.0,Yanks,Don Currivan 47 yard pass from Boley Dancewicz,6,0
1,1.0,Rams,Bob Hoffman 4 yard rush,6,6
2,2.0,Yanks,Don Currivan 51 yard pass from Boley Dancewicz (Frank Maznicki kick),13,6
3,3.0,Rams,Bob Hoffman 4 yard rush (Bob Waterfield kick),13,13
4,3.0,Rams,Bob Waterfield 26 yard field goal,13,16
5,4.0,Yanks,Don Currivan 37 yard pass from Boley Dancewicz (Frank Maznicki kick),20,16
6,4.0,Yanks,John Poto 11 yard rush (Frank Maznicki kick),27,16
