,Quarter,Tm,Detail,CIN,GNB
0,1.0,Bengals,Ian Sunter 20 yard field goal,3,0
1,1.0,Bengals,Ian Sunter 34 yard field goal,6,0
2,1.0,Packers,James Lofton 15 yard pass from Lynn Dickey (Chester Marcol kick),6,7
3,2.0,Packers,Steve Atkins 8 yard pass from Lynn Dickey (Chester Marcol kick),6,14
4,4.0,Bengals,Ian Sunter 31 yard field goal,9,14
