,Quarter,Tm,Detail,NYG,DAL
0,1.0,Cowboys,J.W. Lockett 5 yard pass from Don Meredith (Allen Green kick),0,7
1,2.0,Giants,Pat Summerall 34 yard field goal,3,7
2,2.0,Cowboys,Allen Green 16 yard field goal,3,10
3,2.0,Giants,Alex Webster 14 yard pass from Y.A. Tittle (Pat Summerall kick),10,10
4,3.0,Giants,Joe Morrison 1 yard rush (Pat Summerall kick),17,10
5,3.0,Giants,Erich Barnes 102 yard interception return (Pat Summerall kick),24,10
6,4.0,Giants,Kyle Rote 14 yard pass from Y.A. Tittle (Pat Summerall kick),31,10
