,Quarter,Tm,Detail,NYG,GNB
0,1.0,Giants,Ray Flaherty 15 yard blocked punt return (Hap Moran kick),7,0
1,1.0,Packers,Verne Lewellen 7 yard rush (Red Dunn kick),7,7
2,1.0,Packers,Verne Lewellen 5 yard rush (Red Dunn kick),7,14
3,2.0,Packers,Wuert Engelmann 42 yard rush,7,20
4,4.0,Packers,Johnny Blood 25 yard pass from Red Dunn (Red Dunn kick),7,27
