,Quarter,Tm,Detail,CLE,PHO
0,1.0,Browns,Rickey Bolden 3 yard pass from Bernie Kosar (Matt Bahr kick),7,0
1,2.0,Browns,Reggie Langhorne 29 yard pass from Bernie Kosar (Matt Bahr kick),14,0
2,2.0,Cardinals,Earl Ferrell 2 yard rush (Al Del Greco kick),14,7
3,2.0,Cardinals,J.T. Smith 8 yard pass from Neil Lomax (Al Del Greco kick),14,14
4,2.0,Browns,Matt Bahr 46 yard field goal,17,14
5,3.0,Browns,Matt Bahr 23 yard field goal,20,14
6,4.0,Cardinals,Robert Awalt 21 yard pass from Cliff Stoudt (Al Del Greco kick),20,21
7,4.0,Browns,Reggie Langhorne 25 yard pass from Bernie Kosar (Matt Bahr kick),27,21
8,4.0,Browns,"Safety, Buchanan tackled Stoudt in end zone",29,21
